;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id
0;0.763;0.85;-3.052;0.0417;0.0304;1.21e-06;0.371;0.761;91.519;284907;7;1;3ia3dJETSOllPsv3LJkE35
1;0.889;0.818;-4.639;0.253;0.47;0.0;0.179;0.782;96.063;302760;9;1;5ByAIlEEnxYdvpnezg7HTX
2;0.686;0.735;-4.616;0.264;0.00921;0.00066;0.342;0.0596;171.355;322227;2;1;1v7L65Lzy0j0vdpRjJewt1
3;0.669;0.821;-4.37;0.29;0.00182;0.0;0.147;0.684;94.895;237573;11;0;5Tbpp3OLLClPJF8t1DmrFD
4;0.78;0.754;-5.377;0.0952;0.135;0.034;0.0467;0.81;82.394;260307;5;0;2MuJbBWAVewREJmB8WdGJ3
5;0.925;0.741;-5.827;0.315;0.0653;0.0;0.044;0.654;93.04;247107;9;0;6fqqAsCYfDOtXAD8Ydo06K
6;0.922;0.909;-2.429;0.27;0.0281;0.0;0.0856;0.309;95.295;161507;10;0;4LwU4Vp6od3Sb08CsP99GC
7;0.895;0.694;-4.384;0.275;0.176;0.0;0.292;0.632;93.944;230000;9;1;6Tsu3OsuMz4KEGKbOYd6A0
8;0.7;0.786;-4.279;0.164;0.051;0.0;0.191;0.64;96.919;213173;0;1;3CU5cYgEjwjaW7pitNKZYJ
9;0.78;0.575;-7.247;0.273;0.43;0.0;0.143;0.773;84.492;252747;9;0;2g8HN35AnVGIk7B8yMucww
10;0.786;0.635;-5.307;0.321;0.094;0.0;0.0771;0.483;97.315;205920;8;1;43CKG4Ag1kYOsNUCcHr7nI
11;0.704;0.873;-4.057;0.144;0.121;5.12e-06;0.24;0.742;154.914;366880;11;0;19FsxX4RthRMZGfXkImdCb
12;0.853;0.705;-6.05;0.285;0.0255;0.0;0.0924;0.617;105.053;216533;10;0;1pgbEvENjLbiba6pVwE70T
13;0.532;0.948;-4.479;0.515;0.144;0.0;0.245;0.437;82.152;322400;10;0;4yPiRxBllD3Kwv3Izmti9P
14;0.762;0.737;-4.882;0.371;0.295;1.12e-06;0.332;0.521;88.933;277620;6;0;7kgsCXovBYFMmb9eBMbWvn
15;0.845;0.884;-4.506;0.0759;0.0128;2.1e-06;0.203;0.904;104.536;257400;6;0;4INDiWSKvqSKDEu7mh8HFz
16;0.936;0.688;-10.103;0.257;0.0644;0.0;0.0764;0.757;100.393;194947;10;0;7M1WDLVWMveO7JNq1gv8SL
17;0.917;0.692;-11.665;0.244;0.185;1.09e-05;0.0686;0.819;111.782;235840;2;1;0tm6gsXe0LSm9zeSspyMQu
18;0.965;0.857;-8.458;0.17;0.00131;0.0;0.0726;0.951;127.656;183760;11;0;6jBCehpNMkwFVF3dz4nLIW
19;0.761;0.711;-7.989;0.0604;0.0174;0.000101;0.0652;0.947;105.448;310387;9;1;6qUEOWqOzu1rLPUPQ1ECpx
20;0.794;0.614;-5.352;0.0467;0.0964;0.0;0.0788;0.663;80.569;238053;5;0;7jLbTp3qZzah9kMIdW8e5M
21;0.802;0.787;-6.009;0.206;0.00127;0.000181;0.0763;0.806;90.189;296907;11;0;7sKt5Y2zJpYw78iAxndB8y
22;0.816;0.775;-3.323;0.234;0.16;0.00031;0.0543;0.527;93.431;270587;11;1;503OTo2dSqe7qk76rgsbep
23;0.888;0.632;-3.872;0.219;0.19;0.0;0.101;0.662;91.979;266067;1;1;2NBQmPrOEEjA8VbeWOQGxO
24;0.772;0.891;-3.029;0.183;0.128;0.0;0.323;0.849;95.306;217440;1;1;0kZnocAcgakb384KIJ9rZ9
25;0.846;0.872;-3.604;0.126;0.0379;0.0017;0.0564;0.819;99.251;242427;1;1;5JucaUHIiSdDjw4mhm2cCn
26;0.803;0.578;-13.264;0.182;0.0103;0.812;0.199;0.499;92.175;160867;1;1;0cfqYhY6B8PbGF9vaVNUeG
27;0.924;0.74;-1.299;0.0774;0.0827;0.0;0.163;0.621;133.974;222293;8;1;7iXF2W9vKmDoGAhlHdpyIa
28;0.775;0.829;-1.933;0.304;0.0606;0.0;0.33;0.836;176.047;278160;1;1;5j6ODxGVhAWeCS49bBKuxz
29;0.908;0.669;-2.827;0.0738;0.00286;0.0;0.237;0.662;112.238;290320;7;1;7lQ8MOhq6IN2w8EYcFNSUk
30;0.791;0.759;-7.378;0.129;0.0314;0.674;0.255;0.619;102.382;289693;10;0;6C7ZgThn6Yan5MTZdAEEFw
31;0.808;0.535;-11.47;0.206;0.381;0.0358;0.111;0.611;95.0;294000;10;0;2e7mHNFlXCkFdKjJ3nsK9E
32;0.612;0.568;-8.555;0.0743;0.523;0.0;0.217;0.23;116.247;346164;4;0;3JIqogHHQIQW1uJ5Yivb88
33;0.508;0.602;-6.988;0.148;0.348;0.0;0.193;0.0978;74.048;298641;3;1;0rf8whOpWQjuBqQwPbtLma
34;0.827;0.728;-3.912;0.307;0.0768;0.0;0.237;0.692;90.872;259493;2;1;1ohwrBQrxIlqMYfkoYERiN
35;0.405;0.721;-6.97;0.283;0.329;0.0;0.252;0.815;92.854;280680;1;1;5RUJkcEbnbiM4JPdUgdJqj
36;0.787;0.72;-7.569;0.313;0.223;0.0;0.633;0.521;121.003;253467;7;1;2tNmhDlMbwQZLxQtWMt2EU
37;0.763;0.786;-6.472;0.229;0.0146;0.0114;0.0817;0.504;93.857;325507;10;0;33ZXjLCpiINn8eQIDYEPTD
38;0.813;0.703;-5.077;0.268;0.125;1.26e-06;0.237;0.241;94.828;224533;11;0;7N1Vjtzr1lmmCW9iasQ8YO
39;0.772;0.599;-5.996;0.246;0.0277;0.0;0.0839;0.557;92.029;247507;8;0;2uhnzF1F605tp9QS6rH2VW
40;0.403;0.742;-5.889;0.338;0.0498;0.0;0.418;0.717;90.336;274480;11;0;0W5M10Od3wY9GnS3MVa8x7
41;0.753;0.749;-6.132;0.316;0.0285;0.0;0.0845;0.832;93.79;246440;1;0;3gRlmtdCyNoKiyozn2pqc9
42;0.782;0.589;-4.827;0.189;0.148;0.0;0.164;0.869;90.438;223547;1;1;0IVAlb0cFCH1cQ974iR1TU
43;0.433;0.711;-5.043;0.255;0.229;0.0;0.159;0.434;88.876;152627;6;0;2L0jlGwPjmKwJYAH6rbfMw
44;0.5;0.854;-3.939;0.355;0.674;0.0;0.285;0.734;189.58;141387;6;1;66QeFlvjQ82MHyxA6ZYWhX
45;0.634;0.823;-5.089;0.198;0.301;0.0;0.37;0.632;92.031;82947;5;1;4dRb3rS1t5WtpXhivpiGBH
46;0.539;0.701;-6.3;0.323;0.0877;0.0;0.107;0.307;87.053;182640;2;1;2JslIlytyr9g4gla743FFz
47;0.855;0.718;-6.891;0.267;0.0428;0.0;0.204;0.961;95.054;262867;8;0;55JYAswiVAIhO8mK2VVLe1
48;0.834;0.878;-9.484;0.15;0.0461;0.0;0.334;0.418;102.848;258688;8;1;6KIKRz9eSTXdNsGUnomdtW
49;0.765;0.29;-17.117;0.139;0.0279;0.0;0.571;0.506;92.409;298773;4;0;0Q0IVlqMV64kNLlwjPj0Hl
50;0.908;0.686;-15.841;0.0918;0.166;0.0;0.645;0.796;114.6;230107;5;1;2EZgq8tPN7WYZ875cy23YU
51;0.802;0.785;-4.781;0.207;0.14;0.0;0.123;0.435;99.998;206400;9;1;2wGSgTmgSF3xjRrHkTc25R
52;0.647;0.514;-10.05;0.0593;0.0655;0.0;0.398;0.386;79.975;240693;8;1;1DIXPcTDzTj8ZMHt3PDt8p
53;0.848;0.666;-6.547;0.274;0.173;0.000699;0.129;0.744;96.662;251573;0;1;3Ti0GdlrotgwsAVBBugv0I
54;0.634;0.845;-5.058;0.352;0.00602;5.29e-06;0.0598;0.929;94.0;237027;11;0;3gY6tiCNsuVi6s8kPV6aQg
55;0.259;0.883;-5.067;0.137;0.0047;0.0;0.172;0.163;176.102;255293;0;0;7Iye7z8lrOT4lKM7RxwX5A
56;0.591;0.766;-5.834;0.185;0.015;0.0;0.107;0.722;89.949;259813;10;0;51by6tqpmWSqNwkRyJFg2B
57;0.545;0.884;-4.807;0.367;0.29;0.0;0.37;0.641;86.049;277653;5;0;0vyULMBhaXQuPW1DtbahvR
58;0.634;0.846;-5.264;0.227;0.0026;0.0;0.118;0.707;92.086;182013;7;1;4PZ1FyZW38n1aQDEU4YLDT
59;0.78;0.634;-5.941;0.16;0.0199;2.98e-05;0.29;0.754;125.25;304507;1;1;5IweeQZdY5XEzStLzUJG5t
60;0.789;0.858;-5.542;0.311;0.127;0.0;0.349;0.775;140.022;219333;1;1;4Li2WHPkuyCdtmokzW2007
61;0.657;0.524;-4.907;0.061;0.0462;0.0;0.322;0.0383;140.021;275733;8;1;7esMRbSzvLv60O70XLZFbc
