;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id
0;0.834;0.878;-9.484;0.15;0.0461;0.0;0.334;0.418;102.848;258688;8;1;6KIKRz9eSTXdNsGUnomdtW
1;0.873;0.62;-8.812;0.293;0.0113;0.000121;0.0925;0.574;105.332;204133;7;1;5gsY63Dq5ht0LEvydhj9lA
2;0.883;0.553;-13.232;0.944;0.0161;0.0;0.228;0.578;91.753;220840;6;0;3gKwVWwKmeuFtPubICbOGc
3;0.797;0.582;-12.97;0.255;0.00484;2.04e-06;0.517;0.415;105.974;282640;2;1;1yo16b3u0lptm6Cs7lx4AD
4;0.586;0.795;-8.71;0.258;0.354;0.0;0.187;0.694;94.101;314600;11;1;0cSJGFChou7M6u2ju9SWN1
5;0.866;0.818;-4.111;0.26;0.0137;0.0;0.132;0.747;103.332;219947;8;0;5jG3djnKEjdcJwidjYWtxL
6;0.904;0.577;-7.293;0.132;0.125;0.0;0.115;0.7;102.691;242040;1;1;15HgR9Ht4obJOcMG4wregp
7;0.836;0.728;-12.058;0.234;0.00569;0.000819;0.0649;0.599;100.842;319907;10;0;0dNiLb9FEHrRK7VFDJctiR
8;0.882;0.814;-5.214;0.424;0.089;0.0;0.16;0.854;99.689;261840;8;0;0f1yzIIGD8k32DNVeEn6jb
9;0.947;0.626;-10.106;0.205;0.0227;3.37e-06;0.0853;0.724;100.6;430013;1;1;5isA9icHWl2651hvfr1EOV
10;0.876;0.823;-9.972;0.11;0.000758;0.000489;0.0469;0.588;104.2;337333;1;1;7vbncEwhWfQes0OLEUeIxb
11;0.859;0.75;-8.325;0.303;0.0193;0.0;0.0538;0.857;98.691;345717;8;0;5n8Aro6j1bEGIy7Tpo7FV7
12;0.941;0.727;-11.592;0.228;0.00472;0.000811;0.177;0.623;128.746;276467;0;1;3EgvmOhP3NQUHY7d6PDOUg
13;0.888;0.699;-10.425;0.164;0.0159;0.000306;0.111;0.697;103.066;198253;1;1;2qq0RYYIuQxXcOxQKN0drC
14;0.83;0.626;-7.601;0.113;0.00725;0.0;0.224;0.475;92.25;252627;6;1;0OGidxV6e9dWeN2bXjXBGi
15;0.854;0.706;-9.5;0.335;0.162;7.22e-06;0.0994;0.747;104.214;232760;11;0;0SwuCcwpFM6x4cu5zOvmi0
16;0.785;0.479;-10.247;0.362;0.0417;3.5e-05;0.334;0.727;87.691;339893;3;1;5RGXoZt1qxmAErdhbyKJKq
17;0.89;0.882;-6.485;0.0969;0.00296;0.00289;0.0388;0.93;115.026;195253;3;1;3jmbbFdiHvAf1EGmveAHkU
