;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id
45;0.753;0.617;-10.076;0.538;0.551;3.1e-05;0.108;0.202;82.481;104629;3;1;5NfFiV4oneo16S2Hpt7WqE
46;0.647;0.702;-8.531;0.08;0.345;4.49e-05;0.436;0.493;125.091;118247;7;1;439EmunDAlipjDuejCQDjQ
47;0.858;0.729;-7.344;0.216;0.0387;0.0;0.315;0.327;125.998;154906;1;1;512YmmPt5AELP0TLAdzSUW
48;0.835;0.68;-4.329;0.244;0.131;0.0;0.0782;0.703;132.95;218800;11;1;02IrbcCZfaMcKRWejgtvRo
49;0.703;0.577;-7.974;0.369;0.00256;0.0;0.217;0.259;141.005;207060;2;0;7fsMkFC6OwhFqqYYPipgrO
50;0.465;0.75;-7.279;0.419;0.113;0.0;0.0936;0.385;174.417;189483;7;1;1E2YetRYB3lzjt5E36MjFS
51;0.7;0.701;-5.746;0.212;0.0169;1.22e-05;0.192;0.338;119.864;261500;8;1;3l5ppif5UyjyB5ck8gyxfH
52;0.634;0.844;-3.809;0.042;0.0766;0.0;0.0904;0.246;85.036;172218;10;0;6j5BK1cFX9TjJd5EXHGgAn
53;0.691;0.64;-6.441;0.369;0.511;0.0;0.409;0.163;138.672;202040;0;1;6MF4tRr5lU8qok8IKaFOBE
54;0.677;0.497;-8.064;0.303;0.365;3.63e-05;0.12;0.46;172.164;190605;10;0;4QEks3yeZVdjNV1zTqxp1F
55;0.801;0.57;-5.103;0.265;0.559;0.0;0.111;0.565;92.058;164632;9;0;7cAFB83sEKAmwekVvQtGZj
56;0.538;0.612;-6.02;0.424;0.308;0.0;0.213;0.684;168.197;182493;2;1;1jzIJcHCXneHw7ojC6LXiF
57;0.544;0.858;-3.854;0.347;0.396;0.0;0.199;0.816;80.095;207279;8;0;3uoCwqVCa7AjnHZHHliRxp
58;0.557;0.654;-7.201;0.196;0.134;0.0;0.291;0.386;135.983;280000;11;0;1q8DwZtQen5fvyB7cKbShC
59;0.789;0.665;-5.201;0.0665;0.00775;0.0;0.109;0.324;127.914;270747;9;1;3Z7dieIRSquTYqLVR15mov
60;0.845;0.403;-13.014;0.446;0.108;0.0;0.0942;0.434;130.043;220519;9;1;3RlpBueVFoPjfaG6Ovi2cE
61;0.535;0.819;-6.792;0.455;0.584;0.0;0.16;0.581;150.451;225000;8;1;6AshXllQhobwSXsdpgp41w
62;0.614;0.88;-7.643;0.257;0.0642;2.6e-06;0.667;0.775;86.98;238440;1;1;1WS1Q9G8vj0gPN2aOkZ80A
63;0.519;0.441;-14.178;0.0353;0.0204;0.000453;0.076;0.25;81.334;234973;4;1;7wCmS9TTVUcIhRalDYFgPy
64;0.569;0.881;-5.873;0.365;0.111;0.0;0.655;0.811;148.067;301769;11;0;0jFxJ1US3dmwQn7DJi269h
65;0.825;0.644;-6.001;0.175;0.0311;0.0;0.086;0.79;132.019;161480;1;1;6BKAKoo7J2vwJGZJs5dhGD
66;0.769;0.421;-9.6;0.421;0.141;0.00707;0.389;0.326;157.964;140512;0;1;4vmqU3xlzuhxtaeXrtAX1F
67;0.901;0.497;-9.236;0.266;0.0192;0.0;0.109;0.463;120.025;162750;7;1;3au0pvHqcTtszysswan6AO
68;0.63;0.694;-6.593;0.313;0.419;0.0;0.134;0.44;91.749;222249;2;1;70hDklZStSazrExPjHJPfR
69;0.315;0.826;-4.314;0.0636;0.00064;0.000687;0.0703;0.359;139.161;256072;7;0;6p8DGrcAUBuLUgDIKcUn0P
70;0.693;0.683;-9.74;0.0454;0.0335;0.12;0.169;0.193;123.951;221173;7;0;6QyXAcERauW27QwlxjDvww
71;0.729;0.531;-8.565;0.0688;0.659;0.344;0.0995;0.72;159.949;213733;9;1;6ZrOlZTUBE0HiUPTWAvPa2
72;0.77;0.751;-4.485;0.0572;0.168;3.76e-06;0.121;0.941;112.087;191000;1;0;40mb3QE1ovLD7vINdURqkB
73;0.678;0.62;-10.024;0.321;0.036;0.00557;0.138;0.433;135.553;298027;1;1;4v20N4W83XDJORt7WCedII
74;0.793;0.489;-10.984;0.284;0.25;0.000101;0.432;0.47;120.097;216933;8;0;4sFzG7iUlyPmuyASCkre9A
75;0.57;0.65;-8.538;0.326;0.0707;0.0;0.339;0.174;96.767;323587;2;1;2lRe5wBRm4xaSKTbDn2vLD
76;0.706;0.688;-6.357;0.269;0.151;0.0;0.466;0.313;125.966;330783;1;1;2RPbEp0DyBVlkRvvYKopO7
77;0.865;0.472;-7.359;0.237;0.223;5.39e-05;0.109;0.843;130.011;192029;11;0;5FX89IUKm9QJT9ymrmyK4k
78;0.621;0.873;-3.067;0.0369;0.0406;9.1e-06;0.0824;0.873;97.96;237800;5;0;5hM5arv9KDbCHS0k9uqwjr
79;0.576;0.75;-5.513;0.0323;0.000205;0.0184;0.065;0.309;126.022;275280;7;1;2BG90VET0O0PRLAtOFqlEf
80;0.484;0.75;-4.176;0.0685;0.697;0.862;0.105;0.467;159.992;141395;1;1;1SHB1hp6267UK9bJQUxYvO
81;0.414;0.404;-9.928;0.0499;0.271;0.0;0.3;0.224;71.105;354320;0;0;4u7EnebtmKWzUH433cf5Qv
82;0.268;0.98;-5.958;0.103;0.0192;0.00709;0.182;0.395;100.315;405600;11;1;6eN1f9KNmiWEhpE2RhQqB5
83;0.548;0.532;-7.596;0.0323;0.186;0.000263;0.217;0.405;85.03;272394;5;1;5FVd6KXrgO9B3JPmC8OPst
84;0.5;0.824;-5.846;0.0388;0.00016;0.00161;0.0916;0.539;120.125;218920;4;0;2RsAajgo0g7bMCHxwH3Sk0
85;0.535;0.651;-6.326;0.0544;0.391;0.0;0.133;0.612;117.218;179600;10;1;4cIPLtg1avt2Jm3ne9S1zy
86;0.502;0.912;-4.556;0.0564;2.55e-05;0.000173;0.106;0.72;116.761;301920;1;1;4CeeEOM32jQcH3eN9Q2dGj
87;0.406;0.698;-7.024;0.0624;0.186;0.0;0.233;0.333;109.266;296480;8;1;4rDbp1vnvEhieiccprPMdI
88;0.702;0.773;-9.256;0.0343;0.0288;0.00871;0.147;0.953;103.564;285373;10;0;5ubvP9oKmxLUVq506fgLhk
89;0.559;0.868;-5.276;0.17;0.0475;0.000176;0.776;0.609;156.295;209413;5;1;5T8EDUDqKcs6OSOwEsfqG7
90;0.473;0.898;-4.797;0.0561;0.00783;0.0618;0.173;0.808;96.556;235547;6;0;4aVuWgvD0X63hcOCnZtNFA
91;0.768;0.852;-6.215;0.038;0.214;7.36e-05;0.0723;0.867;128.373;271240;4;1;07q0QVgO56EorrSGHC48y3
92;0.541;0.96;-2.947;0.0505;0.0663;2.25e-06;0.344;0.812;122.803;222707;0;0;0rmGAIH9LNJewFw7nKzZnc
93;0.671;0.373;-18.064;0.0323;0.257;8.01e-05;0.0481;0.732;92.718;295893;9;1;2374M0fQpWi3dLnB54qaLX
94;0.665;0.542;-8.323;0.033;0.123;0.00291;0.342;0.587;97.975;257563;11;0;2LGdO5MtFdyphi2EihANZG
95;0.532;0.887;-3.757;0.0335;0.0778;0.000214;0.294;0.795;122.511;249293;0;1;37ZJ0p5Jm13JPevGcx4SkF
96;0.671;0.712;-7.815;0.0476;0.429;0.0;0.103;0.462;113.805;248440;2;1;2fuCquhmrzHpu5xcA1ci9x
97;0.464;0.417;-9.345;0.0256;0.136;0.022;0.0974;0.479;67.528;183956;0;0;5XeFesFbtLpXzIVDNQP22n
98;0.572;0.835;-6.219;0.0317;0.171;0.000377;0.0702;0.795;129.981;241600;0;1;7N3PAbqfTjSEU1edb2tY8j
