;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id
0;0.153;0.0138;-25.616;0.0397;0.567;0.876;0.073;0.077;135.087;655080;10;0;7LjWDanHxWmGTUkxz5QS9y
1;0.229;0.21;-14.28;0.037;0.947;0.928;0.146;0.272;90.881;249440;8;0;0P9szG4iqCVWxYb5Xok48U
2;0.357;0.0968;-11.793;0.0412;0.984;0.299;0.105;0.126;105.164;98693;0;1;0hoarvEjXU9yTbnQZzsmwY
3;0.44;0.142;-13.318;0.0288;0.977;0.893;0.0955;0.146;84.812;146467;0;1;772mPzQRpJVwmAe9BSSKkp
4;0.303;0.193;-8.629;0.0309;0.964;0.418;0.104;0.207;108.764;176587;1;0;5sSNEKKBzfL5PCVWBGl4am
5;0.0778;0.229;-13.459;0.0403;0.737;0.751;0.118;0.0383;68.941;245973;0;1;44xTlp6i6uNgqQ9ZbgnCeX
6;0.201;0.19;-12.633;0.0368;0.938;0.924;0.109;0.0348;85.134;185373;7;0;5i8aYcwpdnF0figfAi2UmR
7;0.28;0.114;-11.415;0.0361;0.927;0.08;0.121;0.133;112.69;115427;1;0;7d5FKp3dfAoxqvi7aGJu6V
8;0.31;0.145;-16.087;0.0444;0.974;0.768;0.0969;0.133;80.372;203813;8;1;4pMIYkGsppjbXsls316gVb
9;0.724;0.181;-14.241;0.0467;0.992;0.0792;0.106;0.362;130.04;108547;3;0;7n9ijrCou97kAAWJKjqVDn
10;0.0626;0.185;-12.132;0.0403;0.878;0.881;0.138;0.0366;68.393;159240;8;0;4lQREPT5vhAK0Fn5E2949E
11;0.0898;0.101;-14.881;0.0414;0.946;0.956;0.0914;0.0317;86.747;265413;0;0;7x80YVtdDVqOXehEQqn1DI
12;0.122;0.176;-12.803;0.0363;0.95;0.826;0.0973;0.0344;78.613;225880;0;1;5h9YYoo0HuZe6dkDh4Hlbf
13;0.407;0.12;-14.529;0.0489;0.969;0.000227;0.0583;0.0746;85.147;85067;2;0;2bGP2vo1vWvCZNKglJiqJp
14;0.492;0.239;-10.19;0.0596;0.616;0.826;0.373;0.463;74.643;28080;9;0;6cNOy3ii0vZhjERfu0R6ud
15;0.68;0.0507;-9.441;0.209;0.954;0.0;0.119;0.573;157.887;25600;4;0;3fkemR6f4WVKl12RMPnFfV
16;0.623;0.0278;-13.612;0.214;0.95;0.0;0.133;0.455;82.358;60867;1;1;0pOwV8kNRroY8g0FyVq83C
17;0.368;0.26;-10.747;0.0354;0.976;0.928;0.129;0.224;123.954;176933;4;1;1uwtjwWdJuVKIrwDbyl72t
18;0.0814;0.0252;-25.87;0.0398;0.939;0.96;0.0721;0.0309;75.075;216077;4;0;2HIsR8n0ouATJKauPJmr7x
19;0.423;0.127;-17.262;0.0367;0.833;0.799;0.128;0.346;99.08;209667;4;1;5FIlD8895x1ZqaXmXU6oKn
20;0.236;0.0704;-22.592;0.0502;0.986;0.88;0.0737;0.0796;144.4;260200;2;0;4J0TNff5b5o1TtT3slwUV7
21;0.09;0.148;-20.918;0.0381;0.751;0.834;0.0913;0.0633;85.719;315867;2;1;6j3NRqPcBSOThhQ1RTP3IR
22;0.321;0.373;-20.61;0.0303;0.933;0.373;0.0706;0.881;96.161;248493;4;1;1N36tlykxijaBgZKvJyaDq
23;0.157;0.062;-21.516;0.0434;0.995;0.895;0.0504;0.195;85.475;223293;2;1;1HTQTqUd2eH1RnV0d5Ksb4
