;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;id;duration_ms
47;0.4;0.994;-7.34;0.0625;3.65e-05;0.097;0.145;0.253;104.134;6W2KBpMMXW17r7dPyqi8Iu;199867
48;0.307;0.934;-10.967;0.0995;8.11e-06;0.842;0.37;0.176;156.83;3HlnQdKyjxZaUs95cLGOKh;192867
49;0.224;0.938;-6.907;0.408;0.00157;0.0765;0.106;0.327;203.79;2YTwVDQOSGclX2N3AKetOP;432547
50;0.504;0.856;-6.271;0.0423;0.000748;0.359;0.114;0.585;95.402;5SAEMjVQbmin3g7b0RG6me;347440
51;0.43;0.96;-5.08;0.0484;0.000121;0.0985;0.0915;0.421;129.7;62P3ZvDY8b1P6B6LeCwWYW;261227
52;0.302;0.805;-11.395;0.0967;0.000849;4.19e-06;0.151;0.578;112.766;6lWFQo5NuR3y8Q6CHIRatA;275387
53;0.552;0.986;-3.265;0.176;0.000112;0.888;0.314;0.328;104.032;6K4sl3JE7oeuUhDJvy9ku3;210288
54;0.187;0.914;-9.373;0.228;0.00019;0.426;0.285;0.225;195.604;77Iw0LG356gd4CF5tCcGNj;162360
55;0.128;0.991;-3.289;0.0582;1.11e-05;0.00362;0.219;0.53;186.124;10qHfyQqzsbBDwob8nk8Ol;189347
56;0.234;0.995;-5.291;0.0775;0.00028;0.0333;0.103;0.297;187.941;1KmX2Q8IwwLY2AMIMOmYlw;297293
57;0.182;0.96;-6.098;0.398;0.00015;7.52e-06;0.18;0.246;157.106;2riiohLaKgMFlu4RQT1MPV;224067
58;0.145;0.988;-3.131;0.0834;4.68e-06;0.00755;0.293;0.215;187.877;77xmDupCWuKQ9lz8hSUszC;263533
59;0.26;0.998;-2.844;0.16;0.000728;0.0187;0.141;0.447;194.788;5szz2njh6khJU22vh4dAz0;129387
60;0.548;0.972;-3.271;0.0491;1.38e-05;0.34;0.325;0.429;103.996;0ZvhRWvON9PFhIKwtZWDNB;267200
61;0.307;0.947;-6.429;0.0489;3.44e-05;0.931;0.152;0.276;140.902;6z8KgGwhwJPSq948Vk3mWk;289133
62;0.395;0.995;-4.639;0.13;0.000251;0.0109;0.275;0.0459;105.694;7kyKKdXsCFNPmH7xq5nLBl;143000
63;0.486;0.971;-4.225;0.156;0.000788;0.00266;0.614;0.344;170.046;2fKHYIAsVMKrGSqKBPKCZu;176413
64;0.475;0.953;-6.951;0.15;0.000291;0.00338;0.104;0.232;118.033;2OoS1aZFAFscH1cUiKlazH;199227
65;0.406;0.98;-5.469;0.0889;5.5e-05;0.0501;0.255;0.469;173.026;12nKXNhjAh7nlvhnqixUPH;284700
66;0.32;0.967;-7.045;0.096;0.000404;4.32e-06;0.292;0.365;100.268;5NYPbGc1NvNlvBAv5m4lpl;391120
67;0.408;0.993;-5.386;0.213;4.12e-06;0.78;0.316;0.217;175.0;4IOi7IORghPMhRPpjkU0cP;236893
68;0.475;0.942;-4.287;0.139;0.00141;0.0797;0.0939;0.178;80.356;1k5Jr3Ir3tXJLrI5ZsJ0fo;255400
69;0.325;0.996;-2.95;0.096;1.99e-05;0.0389;0.186;0.354;120.013;5bKD8llj8BPQ3GJ7QckFJn;301040
70;0.175;0.969;-4.496;0.0877;0.000458;0.0853;0.0889;0.295;192.481;1VAr5YFV3UF3eWmbhYQMqF;278381
71;0.326;0.998;-3.095;0.0993;0.00205;5.14e-05;0.364;0.471;101.862;1jMjbrmkSZAVvi7iffs06D;123987
72;0.256;0.992;-4.505;0.136;8.41e-06;0.27;0.096;0.144;101.895;04FfBJZBfU0UR5uqR4CJAD;279373
73;0.379;0.808;-8.605;0.0684;5.23e-05;0.794;0.322;0.557;138.694;6XN00D9ejjEt1cW1sY44Gu;339880
74;0.285;0.977;-4.443;0.195;3.19e-05;0.0328;0.0772;0.472;154.814;21firHs3loUdDk1fXPM1bT;185013
75;0.599;0.948;-9.923;0.0476;0.00291;0.00151;0.0576;0.626;139.374;1HvbGzyNAlohRQoOCknGaR;278307
76;0.479;0.96;-9.551;0.0991;0.000148;4.62e-05;0.208;0.506;93.867;5RU50TPTgtxJLFNunUS2p5;168600
77;0.515;0.993;-5.357;0.105;0.000191;0.371;0.171;0.139;119.943;5GPOecXhHwugx2BkIyoFDh;232387
78;0.345;0.976;-5.437;0.181;0.00048;0.0658;0.074;0.0627;110.37;6aeZ0eNf2U6TdmUHi3NNdP;287667
79;0.257;0.99;-1.834;0.174;4.17e-05;0.193;0.107;0.0358;118.032;01mexVwlEDtAbDUtdwwIYH;184507
80;0.475;0.969;-4.283;0.0919;0.000251;0.374;0.0878;0.297;163.083;2CXrH4eUWhusFmDk3PWpKX;204200
81;0.319;0.99;-5.133;0.124;3.5e-05;0.0357;0.254;0.206;105.551;66SvhAHu1tggvj5wwOwxDR;343920
82;0.382;0.946;-5.157;0.159;0.00118;0.17;0.635;0.283;102.099;1vmKLjxAqnceTYBdoHMqLG;275853
83;0.371;0.965;-6.059;0.108;5.25e-05;0.245;0.125;0.206;174.964;5MFNrx7j2Hv02GXzJQC9xI;206067
84;0.241;0.978;-3.172;0.151;0.0339;0.891;0.115;0.292;79.693;2pP8Y75tN80adMKaYvEmre;193733
85;0.329;0.885;-10.661;0.0904;0.0242;0.00433;0.735;0.481;163.538;76BYv24CcZt2u94JRjmATX;259760
86;0.505;0.953;-5.928;0.0538;1.03e-05;0.327;0.0737;0.545;133.036;1gEV4KEZ7QNo7hO8ClhIGl;195573
87;0.354;0.994;-4.254;0.151;3.38e-05;0.000701;0.0746;0.0761;203.921;7455R3ZkleZUXIl4qUrsEu;233146
88;0.335;0.869;-4.479;0.0441;0.000806;0.00058;0.177;0.167;148.807;7gwZU5P25QhYM0lDknVhG8;372507
89;0.255;0.98;-7.273;0.0983;2.19e-05;0.597;0.0705;0.14;137.968;0clHULfuPEX8aONevwdBer;258347
90;0.381;0.962;-6.96;0.213;0.00601;0.0434;0.311;0.287;99.339;2UBfBqoPIUskGk0tWzQXSk;357080
91;0.479;0.762;-10.998;0.0523;8.61e-05;0.03;0.15;0.457;91.831;3JqTeGdODAcf9mWM9mKJOO;336200
92;0.56;0.982;-3.53;0.145;1.19e-05;0.157;0.199;0.29;112.528;2f5xNIpC6ImTj6Z5jw7XWX;73093
93;0.515;0.805;-8.593;0.0423;7.58e-05;0.545;0.105;0.713;124.505;1VTRnV3SF0uQmHTM2dqJMg;281733
94;0.325;0.985;-3.941;0.151;0.00177;0.107;0.351;0.221;125.307;5LyRtsQLhcXmy50VXhQXXS;392600
95;0.546;0.967;-6.216;0.12;0.00013;0.355;0.121;0.327;123.018;2f94i6VbtWixyKOLUtlQ65;221093
96;0.357;0.974;-4.228;0.0777;2.21e-06;0.681;0.151;0.662;169.2;5QhdIUkRGXIsKA3qLDpo1N;284096
97;0.506;0.994;-5.733;0.0935;0.000176;0.0152;0.155;0.205;144.04;712ukvLX20rwHuTWg7Gcjb;294800
98;0.543;0.836;-9.11;0.0353;0.000647;0.431;0.153;0.56;105.173;2MuWTIM3b0YEAskbeeFE1i;515387
99;0.409;0.73;-11.394;0.0937;7.06e-05;4.88e-05;0.33;0.717;105.827;0JoHFDx1gp0JjBxEIPutNK;202160
100;0.209;0.979;-3.594;0.0774;4.52e-05;0.00496;0.317;0.517;139.775;6CvWMcYXQvJ9to9BYyN079;233665
101;0.289;0.989;-4.006;0.11;6e-06;0.179;0.122;0.198;136.419;4VcN84ZdC7doe4yoIarJUA;253989
102;0.267;0.991;-4.608;0.159;1.97e-05;0.00484;0.652;0.116;104.82;5uhHBjOS6FhSWWVIBLLotY;304173
103;0.344;0.983;-3.06;0.139;2.18e-05;0.000254;0.148;0.396;102.711;3U7bYEYs8GEAh2yyyhErly;299800
104;0.424;0.971;-7.376;0.13;7.12e-06;0.0302;0.214;0.322;146.016;74pjm7MZkov3oHfPQLZKoR;230680
105;0.325;0.856;-6.547;0.188;0.000319;0.00708;0.257;0.652;69.955;6i7IXg8j7ZngiEOgBYjkhw;327040
106;0.428;0.947;-8.516;0.0751;0.000679;0.0563;0.262;0.223;102.335;34LXW73avo8xz0NLiVuiow;302360
107;0.605;0.926;-5.083;0.0906;0.000739;0.0603;0.243;0.393;119.929;0S2E13m2p0LszBBSoQnu5D;142427
108;0.384;0.916;-6.468;0.0983;0.000611;0.422;0.14;0.192;158.042;38fIaph07Kd8ZIN6l17ZJs;248547
109;0.309;0.805;-6.696;0.103;1.3e-05;0.766;0.334;0.593;142.409;0amgTTnQK7rmkXTUFFRZsY;92613
110;0.254;0.816;-7.327;0.0506;5.82e-05;0.0634;0.0865;0.531;202.059;58SUPk63baVqZ44Yko0wWL;356920
111;0.21;0.91;-12.809;0.0591;0.000571;0.851;0.323;0.397;99.661;7K5p2ZBtfDBElkrkTYgGmx;246000
112;0.166;0.949;-6.613;0.106;0.00672;0.000152;0.212;0.402;180.639;4A4weFSPsfaYN8r3xlzn27;183950
113;0.369;0.965;-5.204;0.134;0.00913;0.00699;0.343;0.661;180.621;3MaWDxMptFZ90WE5HJqClx;142744
114;0.362;0.963;-4.564;0.0553;3.01e-05;7.63e-05;0.075;0.735;141.253;7eneUniG2dwSEvkSlB5qtv;297500
115;0.555;0.959;-4.58;0.0668;2.68e-05;0.543;0.0969;0.299;102.531;4nwkxiAVNFMlF360A80vqQ;225920
116;0.391;0.989;-2.339;0.0608;9.19e-06;0.00226;0.317;0.303;96.41;6evNLVJzdRcBoXgA8Bn56f;192267
117;0.221;0.861;-10.138;0.0678;0.000174;0.0113;0.345;0.289;186.416;6jIVLU8ewF4pWLojWLUca1;310493
118;0.2;0.874;-17.456;0.045;0.000347;0.681;0.141;0.229;96.949;3A4gI48P0SrKg6SgPtvjVH;323733
119;0.357;0.997;-4.29;0.183;7.67e-06;0.861;0.285;0.165;112.671;3BHNJXo4fJGHzbFy9wamdn;174587
120;0.251;0.978;-5.495;0.166;0.000254;0.315;0.0798;0.17;100.822;1Gn1FeIYUMZ2a7PrbaaQhl;395705
121;0.405;0.96;-4.672;0.13;9e-06;0.372;0.228;0.264;152.019;3UDEQapo4aNTwmodEamAo2;242320
122;0.517;0.924;-6.049;0.0519;2.7e-05;0.0256;0.178;0.374;124.032;7DDtR2AfAcLGtSDJ0BQbhU;250253
123;0.342;0.987;-4.42;0.205;0.000262;0.00025;0.172;0.0418;110.125;0t1lDXmMWBzF6mfnQ6KwqZ;320520
124;0.455;0.97;-4.112;0.086;1.18e-05;0.157;0.0624;0.369;90.021;2IQS1gH2hzp6WAmjdWZtr1;241133
125;0.445;0.959;-5.875;0.0612;3.16e-05;0.00678;0.178;0.365;97.974;2OsCkXO8524Qxwe1pR3eAb;284715
126;0.249;0.98;-4.487;0.0798;5.42e-05;0.19;0.269;0.319;156.02;5SEXNeCl0i7Gzkw4kc9ln6;291530
127;0.148;0.908;-7.336;0.117;4.66e-06;0.614;0.0723;0.0707;93.888;4cJhBmeJ7KiBeuy7oxRnZ3;243360
128;0.437;0.852;-7.347;0.118;5.41e-05;0.00751;0.131;0.499;129.257;3WC0gsMu6HYTolvlsCEFKF;402144
129;0.255;0.931;-3.938;0.115;0.0143;0.0839;0.158;0.437;144.755;5knnuV8LT06mtp5K8Cfh8f;260667
130;0.428;0.874;-6.664;0.128;0.000337;0.0419;0.311;0.261;119.708;6ursmCnbc9oDRGa2yHKkoZ;212253
131;0.332;0.992;-5.571;0.108;3.34e-06;0.422;0.135;0.184;134.888;3Lao9WQ5YkN6P9YKE0ppVX;368840
132;0.2;0.98;-3.305;0.186;0.0529;0.933;0.126;0.238;103.621;7CTyXGB9uSD4goYKVIjPr6;230333
133;0.373;0.98;-4.945;0.103;5.98e-06;0.3;0.277;0.111;102.842;0fgTEy6LAXgNC4nT4XKZbS;270920
134;0.273;0.988;-2.934;0.471;6.96e-05;0.0115;0.0891;0.156;110.051;0KiRc3f3OI9C7s0S1QjQNO;299107
135;0.307;0.987;-10.409;0.113;0.00024;0.000192;0.139;0.0395;155.737;0MuJLuEaZuXX8aMBFCrTE4;316867
136;0.427;0.981;-4.004;0.114;1.09e-05;0.611;0.123;0.267;168.094;2vPrQslUr412s79OUVNvn9;311187
137;0.163;0.977;-3.585;0.0591;3.64e-05;0.0052;0.0555;0.369;178.44;3JjZq20Kv6UphyyirAaY9A;350644
138;0.372;0.993;-2.562;0.157;1.1e-05;0.00133;0.0796;0.548;196.016;6q49i9C9DYDmMDntgVAgxb;248360
139;0.498;0.98;-4.083;0.129;0.000459;0.00142;0.111;0.302;106.859;2LTazmGAG6srTflsDKMPsk;280347
140;0.382;0.91;-10.631;0.0747;2.12e-05;0.00502;0.0531;0.284;91.666;35uMZn4cSi5CKv5wqnxKRk;315533
141;0.332;0.946;-6.233;0.127;0.000275;0.0304;0.136;0.303;153.091;0QRxtcxL31dRAeiUUuENPu;287480
142;0.317;0.856;-12.946;0.0702;1.73e-06;0.725;0.0486;0.248;136.177;6K6bdBIpKj3pL0IrA4b1Kt;254827
143;0.421;0.919;-8.676;0.067;0.000264;0.0328;0.0672;0.0994;105.9;3UKGPk85EhjqJSqePrSYeR;376160
144;0.531;0.947;-4.337;0.0459;2.26e-05;0.681;0.11;0.508;101.308;52AqAqNPX08V8KQC3AfTBs;320067
145;0.27;0.991;-4.716;0.134;2.66e-05;0.0273;0.323;0.238;126.799;5Xwn7YmF5BRCWyBYHXqZGL;384853
146;0.43;0.96;-4.32;0.0778;5.64e-05;0.0909;0.126;0.252;101.608;14M68PdZSSMRzTBuJNuxO6;278200
147;0.364;0.982;-7.034;0.195;6.65e-05;0.0124;0.163;0.127;113.772;0dpFb4qv92TE9R00Lq4SAW;392800
148;0.412;0.99;-7.035;0.123;2.41e-05;0.0558;0.0955;0.109;144.371;3oOdGX0hEJSJEZv259Len9;217973
149;0.437;0.995;-4.997;0.142;7.83e-06;0.165;0.316;0.038;118.049;3orHIz1YV1bmUHsi2fze48;392067
150;0.255;0.905;-6.846;0.0523;7.94e-06;0.0255;0.292;0.29;155.217;2X2PpMnbDL4iQC1xdQaol2;303481
151;0.209;0.985;-4.643;0.0974;1.66e-06;0.0187;0.226;0.404;170.44;7au6woRLPhEyBVzfF9VsfS;151107
152;0.401;0.988;-4.39;0.0714;2.79e-05;0.0159;0.103;0.46;194.978;5nx2UgWzyJAjDvpvvnRAZ8;277333
153;0.263;0.97;-4.182;0.163;0.00338;0.000795;0.0922;0.17;151.729;3Ky8IzV8IVSwijtaTWB2SK;397827
154;0.427;0.79;-12.396;0.0513;4.18e-05;0.51;0.344;0.443;111.298;7mTceRxYae4a5xkEhTgdqq;330987
155;0.439;0.995;-3.218;0.148;2.14e-05;0.0153;0.286;0.521;107.338;2BKaYacYK33sCj0wQmelzs;235067
156;0.272;0.991;-3.376;0.184;0.00027;0.000564;0.138;0.0853;98.38;6Uiw1cc5V8JXyQTnfcqBto;295127
157;0.507;0.921;-10.351;0.044;0.000248;0.00261;0.364;0.475;148.757;6EDh3fGDzhYlgzPiccnRKe;225800
158;0.154;0.923;-6.55;0.0867;2.93e-06;0.848;0.431;0.163;151.523;5Sr2sWiF4R8WsL9EiGxW4f;230720
159;0.322;0.931;-4.253;0.164;8.53e-05;0.818;0.0969;0.392;138.041;4g73DT2U0A3TGdd8UyQIQB;244160
160;0.334;0.994;-4.1;0.0568;0.000193;0.0551;0.0976;0.205;138.636;28ILqSCrIeWvU52pyZfsxx;207467
161;0.362;0.974;-4.481;0.105;4.4e-05;0.0149;0.231;0.521;199.999;4MbJlBkNTEXGJ0sL8U5ABN;266015
162;0.402;0.99;-2.934;0.126;1.85e-05;0.549;0.0749;0.481;82.341;6egRwYsMJ8DVJQAKOjHWou;113040
163;0.633;0.846;-6.347;0.0337;0.000819;0.00139;0.0762;0.448;89.23;1PhLYngBKbeDtdmDzCg3Pb;323933
164;0.373;0.952;-3.663;0.141;4.65e-05;0.0164;0.319;0.367;104.998;02DBrXnHrruEV5SvswEAqA;309960
165;0.432;0.938;-9.707;0.0506;5.65e-06;0.0219;0.0813;0.433;157.553;56YlD5iUdbWTNyodQj5Zaa;280280
166;0.336;0.969;-5.362;0.0943;1.49e-05;0.00445;0.291;0.247;124.016;4YwNICywFFs0AYJinq9Uo7;239027
167;0.426;0.95;-7.524;0.1;1.34e-05;0.131;0.78;0.261;93.997;48cc1MssPXEjp1x91THf2G;290600
168;0.265;0.92;-2.623;0.0558;0.000185;0.0123;0.153;0.408;97.659;5dTJb5A1w6bYwSjOwY62mo;228640
169;0.417;0.998;-1.973;0.142;0.000131;0.364;0.29;0.167;107.411;445W7aeIFfMsAVOxi9dvXS;359653
170;0.301;0.978;-3.828;0.0839;0.000843;0.0653;0.0894;0.418;106.133;3I3YbQDkcjxT07B2peaRjF;283202
171;0.41;0.988;-4.216;0.18;5.79e-06;0.0139;0.31;0.216;90.048;1Qr1hvhqN05lw6LZcbG3eF;271652
172;0.283;0.937;-7.462;0.116;6.42e-05;0.00722;0.33;0.393;102.401;0kJVVyz73lZau2zbr4kmIX;370400
173;0.26;0.997;-5.629;0.108;0.000104;0.33;0.338;0.0352;174.952;3uPYITcnVb9RZ7d8aKMV3r;246227
174;0.487;0.975;-4.974;0.105;7.47e-05;0.0183;0.201;0.526;139.964;4QrS1lEI8GZVEuVqf3MwXK;202019
175;0.359;0.864;-9.155;0.105;0.0181;0.0139;0.0922;0.341;114.018;7FE5fPgt4D1vHYwA1T1ahe;401000
176;0.491;0.839;-9.186;0.0897;0.00104;0.0841;0.113;0.271;160.248;0UvsK2aQdg2bQU4bCGn6fK;172240
177;0.393;0.826;-12.332;0.0517;6.99e-05;0.901;0.0785;0.418;109.345;38hZCQdkE9eupETmA9adcH;208800
178;0.347;0.802;-5.584;0.0493;0.00012;0.229;0.265;0.145;134.787;0PVqmGnFNOQmHD1prOk2UI;215840
179;0.262;0.956;-6.743;0.152;0.0278;0.177;0.612;0.355;76.906;7cSZEgMWIXGDcbFnYdsB6X;357934
180;0.275;0.994;-4.756;0.21;6.56e-05;0.0301;0.407;0.148;176.096;5qC1Ly7Ec3fVxVbdpsLh7H;373935
181;0.122;0.919;-7.782;0.119;3.12e-06;0.824;0.214;0.334;179.263;2pjI7phMrTO2KOJCqCkHIU;287600
182;0.456;0.997;-4.385;0.0914;0.000157;0.0724;0.306;0.0776;109.851;4r7wKbbQPN4hzNWjLM5554;122560
183;0.295;0.925;-5.567;0.136;0.00012;0.000377;0.444;0.234;147.12;21whloemotjEi7Uy7wV51E;208147
184;0.116;0.963;-4.829;0.133;1.02e-06;0.886;0.0765;0.224;91.439;0tlw6V9Zp4JlgR0euf8IZm;245461
185;0.474;0.974;-3.715;0.0688;2.26e-06;0.0177;0.499;0.227;105.018;7f9GwtBThFbtYnxc7X47XE;351613
186;0.371;0.973;-5.303;0.135;0.000641;0.00163;0.0423;0.444;127.721;3cFnb3Rg9a7Gzqxc5QQ9YZ;164333
187;0.332;0.995;-6.366;0.125;3.52e-05;0.76;0.0762;0.34;95.329;0bNcU1wxJsgSUnMbmLkzkE;274816
188;0.344;0.955;-10.614;0.0444;5.4e-06;0.111;0.0665;0.352;111.671;3pKsUMqpVr4ZJ13Mm91Xig;203680
189;0.518;0.858;-6.147;0.0672;0.00563;0.00349;0.0598;0.249;117.897;2dXsILW8gzkosqleHAvl0v;309973
190;0.372;0.961;-6.765;0.0931;1.52e-05;0.0548;0.0916;0.159;115.336;1erRDf98WX0VllciGPYO1H;198227
191;0.437;0.94;-5.467;0.0895;0.00616;0.0055;0.0898;0.426;95.171;2rKz4ihTRHCD0RpNaO1ANJ;287667
192;0.534;0.982;-3.586;0.0953;0.00098;0.848;0.294;0.386;100.04;1AdZd2g7jZvCQDBD8lRj3T;251787
193;0.496;0.954;-3.134;0.0597;1.99e-05;0.147;0.638;0.378;105.009;6OzqddptxYetfz9ZbUWRJq;297093
194;0.509;0.988;-3.535;0.0988;1.06e-05;0.0419;0.0515;0.393;95.1;3FzPWVOfYBi646pFcei6f3;176347
195;0.189;0.95;-9.648;0.0954;0.00371;0.000779;0.0543;0.124;155.558;0FCvb6CiwfxdRqZOtgj5yt;375400
196;0.458;0.984;-4.294;0.15;6.44e-06;0.515;0.0678;0.381;155.055;4pwKVmEsLZAIFW05f88ZT4;273227
197;0.526;0.995;-5.399;0.168;6.94e-05;0.0388;0.237;0.233;94.99;6XIS5CB6zJ1BJZPQfq8zUx;263107
198;0.469;0.995;-3.894;0.122;4.22e-05;0.577;0.263;0.298;155.019;5epOdgJW9Y2bu61k4dumrY;166929
199;0.31;0.991;-3.769;0.316;0.000132;0.085;0.0969;0.0395;140.071;3U9gogDStAfWxSm91PJuxb;298533
200;0.557;0.981;-4.542;0.084;1.87e-05;0.0177;0.237;0.26;120.03;0ZF2dT09YSGvI3i6IihbqX;251387
201;0.571;0.974;-4.548;0.0896;0.000231;0.0;0.5;0.244;92.523;6XV2s0jov1VZqfOPySIIiA;172493
202;0.598;0.954;-4.86;0.0801;0.00951;2.86e-05;0.127;0.235;100.98;1UwwbPgKGOoSbqqHm9Xxzn;311987
203;0.515;0.942;-8.789;0.0385;0.000342;0.227;0.0945;0.481;92.52;6WDMOh0LJY9EHO4aIE7dPh;195880
204;0.252;0.994;-3.66;0.227;0.000888;0.0156;0.168;0.0767;101.02;7kPZ2v5kmx0PTI5zV6mvDz;215693
205;0.476;0.984;-4.457;0.088;1.4e-05;0.00861;0.363;0.351;93.992;19ZMUBNaw5HopQ5ljdZj8T;203000
