;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id
0;0.776;0.78;-4.374;0.128;0.0622;0.0;0.081;0.666;124.949;204347;10;0;0pqnGHJpmpxLKifKRmU6WP
1;0.414;0.404;-9.928;0.0499;0.271;0.0;0.3;0.224;71.105;354320;0;0;4u7EnebtmKWzUH433cf5Qv
2;0.352;0.911;-5.23;0.0747;0.00121;0.0;0.0995;0.236;148.033;222973;1;1;003vvx7Niy0yvhvHt4a68B
3;0.559;0.345;-13.496;0.0459;0.0576;0.000105;0.141;0.458;84.581;264307;4;1;3d9DChrdc6BOeFsbrZ3Is0
4;0.671;0.373;-18.064;0.0323;0.257;8.01e-05;0.0481;0.732;92.718;295893;9;1;2374M0fQpWi3dLnB54qaLX
5;0.41;0.854;-5.609;0.0366;0.00236;0.0;0.133;0.456;174.584;258907;2;1;1qPbGZqppFwLwcBC1JQ6Vr
6;0.624;0.91;-5.703;0.0297;0.0285;0.000198;0.0789;0.767;104.042;193051;0;1;7kzKAuUzOITUauHAhoMoxA
7;0.559;0.868;-5.276;0.17;0.0475;0.000176;0.776;0.609;156.295;209413;5;1;5T8EDUDqKcs6OSOwEsfqG7
8;0.5;0.748;-9.072;0.0363;0.127;0.0;0.447;0.514;118.852;250987;4;1;4bHsxqR3GMrXTxEPLuK5ue
9;0.548;0.532;-7.596;0.0323;0.186;0.000263;0.217;0.405;85.03;272394;5;1;5FVd6KXrgO9B3JPmC8OPst
10;0.733;0.71;-5.849;0.0292;0.145;0.115;0.0956;0.965;127.975;239600;5;0;7w87IxuO7BDcJ3YUqCyMTT
11;0.933;0.528;-6.472;0.161;0.112;0.312;0.163;0.754;109.967;214653;5;0;5vdp5UmvTsnMEMESIF2Ym7
12;0.556;0.864;-5.87;0.0584;0.00958;0.0;0.209;0.4;105.143;216880;3;0;60a0Rd6pjrkxjPbaKzXjfq
13;0.31;0.7;-5.678;0.047;0.011;0.00965;0.0828;0.763;188.386;255493;9;1;08mG3Y1vljYA6bvDt4Wqkj
14;0.498;0.741;-6.259;0.0412;0.0372;0.0;0.157;0.456;85.587;211333;11;0;0wVrS0Jg01HNeJcs5TyUBK
15;0.446;0.952;-5.321;0.0523;0.0901;0.0857;0.112;0.624;125.303;356067;6;1;7snQQk1zcKl8gZ92AnueZW
16;0.578;0.866;-3.804;0.0619;0.00701;0.0;0.257;0.619;128.038;199080;1;1;4kbj5MwxO1bq9wjT5g9HaA
17;0.502;0.912;-4.556;0.0564;2.55e-05;0.000173;0.106;0.72;116.761;301920;1;1;4CeeEOM32jQcH3eN9Q2dGj
18;0.645;0.713;-5.355;0.0393;0.00835;0.0;0.113;0.566;74.989;214507;6;1;2Z8WuEywRWYTKe1NybPQEW
19;0.299;0.811;-5.146;0.044;5.09e-05;9.35e-05;0.38;0.31;175.921;221086;8;1;4Ekxf6Y5gHCBIlct9urE0a
20;0.679;0.715;-6.383;0.0407;0.0755;0.0;0.271;0.571;127.435;214148;9;1;4Ub8UsjWuewQrPhuepfVpd
21;0.671;0.712;-7.815;0.0476;0.429;0.0;0.103;0.462;113.805;248440;2;1;2fuCquhmrzHpu5xcA1ci9x
22;0.734;0.637;-5.677;0.141;0.0462;2.29e-05;0.0602;0.648;169.977;202333;4;0;3CRDbSIZ4r5MsZ0YwxuEkn
23;0.82;0.452;-9.796;0.0348;0.543;0.00294;0.0714;0.74;117.401;253920;1;1;1JSTJqkT5qHq8MDJnJbRE1
24;0.624;0.595;-7.689;0.0255;0.125;0.0296;0.089;0.586;90.022;271000;8;1;4k8x9zvHOtcHLn9XpljRkT
25;0.743;0.446;-7.807;0.0683;0.0039;0.118;0.337;0.278;123.596;232107;4;0;3dPQuX8Gs42Y7b454ybpMR
26;0.496;0.863;-4.153;0.0381;0.0046;0.0;0.639;0.243;110.018;185587;9;1;2nLtzopw4rPReszdYBJU6h
27;0.579;0.508;-9.484;0.027;0.00574;0.000494;0.0575;0.609;147.125;391376;2;1;40riOy7x9W7GXjyGp4pjAv
28;0.592;0.767;-2.788;0.027;0.0021;0.00165;0.127;0.328;96.483;329733;9;0;48UPSzbZjgc449aqz8bxox
29;0.543;0.709;-6.111;0.0308;0.00524;4.62e-05;0.266;0.463;97.496;198769;1;1;6hNYGFA8Ut9RwuC0IZ9BTp
30;0.448;0.784;-3.686;0.0627;0.106;0.000108;0.668;0.236;136.245;186813;9;1;62yJjFtgkhUrXktIoSjgP2
31;0.618;0.938;-3.442;0.0456;0.0179;0.0;0.167;0.875;91.455;269000;9;1;3ZOEytgrvLwQaqXreDs2Jx
32;0.574;0.913;-4.793;0.133;0.061;0.00158;0.156;0.423;115.728;208400;6;0;2zYzyRzz6pRmhPzyfMEC8s
33;0.532;0.887;-3.757;0.0335;0.0778;0.000214;0.294;0.795;122.511;249293;0;1;37ZJ0p5Jm13JPevGcx4SkF
34;0.544;0.882;-4.243;0.045;0.000887;0.00461;0.165;0.781;95.043;179000;6;1;1cAw6OgJHPariSAeWl71rb
35;0.596;0.605;-12.145;0.0255;0.181;0.000331;0.0863;0.886;97.798;283800;7;1;7e89621JPkKaeDSTQ3avtg
36;0.566;0.664;-5.303;0.0464;0.634;0.0;0.116;0.437;128.945;241688;4;0;3dYD57lRAUcMHufyqn9GcI
37;0.291;0.79;-5.683;0.0363;0.00133;5.61e-06;0.0811;0.513;155.667;289907;11;0;6vrUTGn5p8IrfTZ0J6sIVM
38;0.64;0.743;-4.08;0.0379;0.269;0.0;0.101;0.361;122.035;262533;10;1;5fVZC9GiM4e8vu99W0Xf6J
