;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id
44;0.347;0.0936;-21.964;0.0433;0.981;0.815;0.126;0.0397;108.55;339013;2;0;3LNKemwZOLpWZSl7BrUIgC
45;0.266;0.189;-16.068;0.0452;0.963;0.685;0.0933;0.251;117.382;247253;9;0;5Q8yxn6I6DVLCsV96YzjIE
46;0.272;0.12;-26.946;0.0414;0.984;0.9;0.101;0.0364;132.07;197653;1;1;3p2sOEdCmLzU9hwA3MQSv8
47;0.265;0.444;-17.533;0.0285;0.944;0.857;0.0804;0.0751;153.08;331827;9;0;5CDpUEYHWnDK6wTZTauCHJ
48;0.169;0.186;-14.6;0.0364;0.987;0.843;0.101;0.0456;64.682;433653;3;0;48n4qpYICtoAnHKZZgtimb
49;0.177;0.364;-15.192;0.0355;0.979;0.935;0.0649;0.157;92.101;244120;2;0;0SbaiqFrfRxsBLeRSFUDG1
50;0.211;0.103;-20.18;0.0376;0.979;0.93;0.0975;0.0643;132.341;479587;10;1;6gI2CQrN5V2g4wk7uTZA7n
51;0.374;0.226;-18.532;0.0527;0.993;0.918;0.0935;0.113;117.316;271414;11;0;7kh8JYhJ68wDK4nXWqFHVg
52;0.177;0.156;-18.351;0.0463;0.986;0.908;0.0636;0.0445;69.858;346800;8;1;5XJu7n1Cgtu381ImAStH73
53;0.293;0.216;-16.337;0.0382;0.922;0.96;0.106;0.0743;120.123;423973;5;1;55R2Ke4RQYEFdbryAnKcW4
54;0.417;0.275;-22.582;0.042;0.968;0.854;0.174;0.0741;145.066;202173;8;0;47NeRM7gya02eKGjPOmQuY
55;0.222;0.18;-14.994;0.0421;0.994;0.958;0.19;0.159;73.084;264887;0;1;6fUWxAzx8Fim3bD8agYhxT
56;0.298;0.313;-15.574;0.0341;0.876;0.808;0.0993;0.157;106.306;204787;9;0;4zGIz3wQWwParqd5K5jeKt
57;0.163;0.104;-20.302;0.0387;0.949;0.89;0.11;0.0371;130.591;851467;0;0;2182kBvMWvbhxjqcoOzIjG
58;0.212;0.0232;-28.637;0.0499;0.982;0.791;0.104;0.138;87.449;578627;0;1;6UL4QXVLda5Q9o5eLLEJBb
59;0.106;0.058;-22.136;0.0351;0.796;0.91;0.0992;0.0979;82.325;498613;4;1;7iYIjTBTnmsQnN3Jg1fcGP
60;0.137;0.166;-18.004;0.0347;0.924;0.801;0.0922;0.0555;59.421;296280;7;0;1B5wfQjvuj3ZkbMb9EtrBx
61;0.227;0.0956;-21.41;0.0386;0.981;0.949;0.0907;0.133;69.617;219600;3;1;1h7SbFdvJreFd6farHVx2k
62;0.247;0.228;-23.749;0.0384;0.985;0.914;0.142;0.0876;123.203;242640;5;1;5kviC3Rh4W0TYIUrLWgM6A
63;0.27;0.134;-21.097;0.0502;0.985;0.687;0.0906;0.347;88.169;635040;1;1;0nt77k5P1k7OKcVcSU70UJ
64;0.564;0.567;-12.568;0.0343;0.957;0.723;0.291;0.89;102.965;970387;6;1;2uakZuRkR1xpxNJ3K90Zzd
65;0.242;0.204;-21.241;0.0393;0.963;0.912;0.193;0.0741;146.365;1302000;10;1;5EhX5Weegqj78HpmX3uqAw
66;0.0906;0.17;-20.966;0.038;0.154;0.777;0.127;0.0394;165.99;148600;4;0;3xQFcCnjsWMIVJo66jC0U2
67;0.105;0.079;-18.03;0.0479;0.853;0.882;0.132;0.0348;81.056;291107;8;1;0vvS8ovyApqf1Ns51R4wKT
68;0.187;0.109;-21.143;0.048;0.938;0.867;0.124;0.0501;139.128;147093;6;0;1G2mAZQL8xfy9wRqC6fY6K
69;0.159;0.175;-19.99;0.047;0.819;0.933;0.107;0.114;181.043;158933;8;1;3l8h6urWQ8SxZINH323Zc7
70;0.246;0.198;-14.905;0.0388;0.848;0.901;0.106;0.0727;65.612;200184;9;0;2UhriDhfi7tIHNiFnpFnxA
71;0.119;0.151;-19.726;0.0366;0.218;0.828;0.135;0.0364;95.828;822893;10;1;6QHAHJQRyD4FDJsdrNAIk7
72;0.125;0.0792;-20.99;0.054;0.216;0.914;0.0845;0.0303;72.139;924480;0;1;3dP6WditsQSyi6PZJWIvCQ
73;0.322;0.0983;-20.124;0.0573;0.986;0.94;0.102;0.137;63.292;271384;9;0;120TSUZ5rMX3v6JhYfIfQT
74;0.4;0.0488;-25.169;0.0451;0.995;0.931;0.0971;0.0803;166.601;232160;1;0;36hPI3x1fQsYEv9fmZNYJY
75;0.263;0.113;-19.973;0.0356;0.983;0.938;0.0826;0.0631;171.89;252693;9;0;167qZTfvySsqycIvFPUbyp
76;0.0643;0.315;-11.53;0.0478;0.207;0.873;0.103;0.0365;65.098;365971;10;1;35igeyI85lP3CcIJU8L1CW
77;0.39;0.187;-16.437;0.0443;0.965;0.926;0.106;0.0725;72.201;148245;4;1;3AvgoGvZsefAiVulCeAgRy
78;0.221;0.176;-16.962;0.0504;0.964;0.925;0.0924;0.0346;77.375;158244;1;1;7ilowsL2yDXAufdQpoieMs
79;0.2;0.0949;-20.545;0.0461;0.904;0.81;0.158;0.0393;87.726;298383;7;0;0za6HhjZw6LwCIDdBl92Vm
80;0.432;0.257;-20.424;0.0462;0.961;0.868;0.0469;0.185;90.143;591867;10;1;4K0zLMAnedJwSNvFI4pH61
81;0.247;0.33;-16.352;0.0731;0.949;0.0108;0.32;0.578;77.023;538253;1;1;1T3vitaZt1PKIvYQP0sWaF
82;0.323;0.133;-25.742;0.0339;0.932;0.921;0.118;0.0356;100.387;272733;6;1;3FstZWj7DvbyvBMeY7bxRF
83;0.387;0.161;-18.538;0.0335;0.852;0.933;0.104;0.0717;132.042;251243;11;0;0h8E9IRNXgUtfM6OtBsJR9
84;0.399;0.117;-16.391;0.044;0.994;0.0945;0.0965;0.262;75.153;74333;9;0;5tkTWLboltOL31poUjJqNZ
85;0.24;0.0354;-30.793;0.0385;0.929;0.977;0.11;0.0554;122.626;108333;3;1;18CCAMBZNoTnI9YYqJx8IK
86;0.358;0.279;-21.573;0.0531;0.847;0.958;0.0864;0.106;130.052;579440;8;1;1FqInoOZHbrU0ZjDpHXSHd
87;0.546;0.238;-18.471;0.0604;0.951;0.613;0.598;0.185;116.983;128933;0;0;0uxibRbYDmXXSERnZk7vzz
88;0.0876;0.307;-17.113;0.0452;0.895;0.953;0.314;0.0382;178.107;164240;9;0;6BIw2IcBBnKr27boYtXKYQ
89;0.122;0.165;-15.358;0.0393;0.983;0.832;0.117;0.0583;68.608;260640;4;0;6q0d2dr9BVMvoHMU3TF1UU
90;0.373;0.0864;-21.277;0.0346;0.987;0.895;0.107;0.0357;106.654;880040;9;0;41VlrdSA69bPSaldSOTpNa
91;0.17;0.153;-18.139;0.0418;0.937;0.494;0.105;0.0973;128.1;1095840;2;1;0zTjbVtn3RUOzuyA4n0mtR
92;0.268;0.188;-16.102;0.0405;0.946;0.91;0.094;0.0392;120.148;470920;5;1;18APnag6mkchj7jEOW921Q
93;0.555;0.465;-13.938;0.0274;0.689;0.129;0.104;0.498;99.34;1085653;8;1;7upURlJfNRrWVvUM9xteZv
94;0.178;0.173;-18.211;0.0364;0.587;0.00195;0.147;0.0794;111.947;396227;9;0;25u1j5gkEnk4Jk5N9cvTS4
95;0.246;0.277;-16.248;0.0378;0.941;0.954;0.109;0.104;138.173;270900;2;0;4ihdL2mAG547k2NxQZ9pN6
96;0.335;0.215;-16.052;0.0308;0.986;0.913;0.096;0.0875;133.872;214699;5;0;7dR4MV7p4nHj7zEqFkTLfA
97;0.352;0.0624;-19.592;0.0405;0.995;0.904;0.117;0.0689;68.019;174076;8;1;2IhE2YFbnCQDtVhjkb5wjQ
98;0.344;0.31;-16.66;0.0344;0.935;0.869;0.147;0.218;63.65;310700;7;1;0g5MasBfNOtkXCRNv5O7qs
99;0.309;0.0225;-20.545;0.0435;0.943;0.857;0.116;0.0497;120.473;228507;0;1;3vhwP2O7bLc1kxR02KrLKY
100;0.184;0.00505;-36.936;0.0405;0.959;0.907;0.0895;0.0381;69.56;537626;9;0;1AkVezKWvL3NcuBXOKzScJ
101;0.191;0.0492;-19.5;0.0471;0.958;0.898;0.0913;0.0375;71.49;345487;5;0;6URuL7xws8nUzcOUir9ML1
102;0.501;0.321;-8.541;0.0323;0.897;0.00808;0.0843;0.425;75.972;271273;4;0;2VdTgu3InMw8Hzk38op4PR
103;0.656;0.0161;-22.015;0.0536;0.984;0.927;0.101;0.42;63.949;170105;4;0;7FxMSvFaru0pxNd7c9Zd9s
104;0.073;0.0414;-28.584;0.04;0.9;0.784;0.115;0.035;78.618;479000;9;1;1UXNq5uwdFfSaUXvWVQu9R
105;0.291;0.131;-19.812;0.0382;0.952;0.907;0.103;0.107;124.025;219526;7;0;7JTVSy4Q8MPZTPvg6vig1c
106;0.74;0.324;-18.033;0.0449;0.874;0.892;0.0713;0.319;128.022;279240;7;1;27WA4tdC9OuzjaDSaU9LQC
107;0.191;0.259;-20.146;0.0413;0.852;0.938;0.363;0.0483;125.057;368960;2;1;7tC9FWtmxDOBtHUG9ZMrDu
108;0.191;0.0566;-21.815;0.0429;0.983;0.0129;0.106;0.113;76.38;327147;7;0;5rI3QUU0s18pRGIzcpNu7a
109;0.228;0.0184;-30.481;0.0344;0.983;0.955;0.0955;0.0669;81.142;397467;0;0;5W3Ka3k2i7oT8neAENC0XE
110;0.108;0.157;-14.752;0.0395;0.969;0.875;0.094;0.0578;171.591;297500;2;0;2id7QjLY3iwVgqMJ8dxT7h
111;0.551;0.15;-14.945;0.0451;0.938;0.912;0.0789;0.176;103.618;214190;6;0;0NxlgdHCjvD0FeTzRP9HQd
112;0.376;0.166;-18.084;0.0424;0.978;0.931;0.147;0.279;125.465;77953;5;1;4uih1JW25QP3hSz5QmUG24
113;0.306;0.0244;-27.896;0.0334;0.986;0.925;0.0885;0.138;82.297;599000;9;0;4q660hIrn8oCYLoyoeNrj0
114;0.482;0.483;-11.057;0.0316;0.968;0.799;0.147;0.185;91.155;239040;6;1;6Mk96t3t5qR5YJ8ftCW18V
115;0.332;0.0335;-30.974;0.0387;0.986;0.926;0.109;0.054;129.691;266187;11;1;7m1PPd6nk5SiPBL0n4ox3i
116;0.315;0.0196;-34.737;0.0319;0.988;0.952;0.221;0.15;102.44;182040;1;0;6BiU4ludo2zY6YqmUdmdly
117;0.332;0.0335;-30.974;0.0387;0.986;0.926;0.109;0.054;129.691;266187;11;1;7m1PPd6nk5SiPBL0n4ox3i
118;0.389;0.222;-15.517;0.0529;0.992;0.762;0.0773;0.114;136.932;352653;0;0;4ER48bHc1J8Pxb0S8yRW2p
119;0.439;0.192;-15.075;0.0428;0.923;0.929;0.32;0.0396;138.45;467000;8;0;1SRqKpnAw3zrdPpM3zXKeg
120;0.325;0.112;-17.124;0.0347;0.987;0.952;0.229;0.0813;129.305;364933;2;0;4R1BgfVT15acQpGKqb95ax
121;0.323;0.00175;-34.391;0.0476;0.986;0.953;0.1;0.116;129.263;236013;7;0;7rwRAljZAji7eH37qlvik6
122;0.119;0.299;-20.81;0.041;0.966;0.865;0.0646;0.0336;93.987;409370;9;0;0ZhCC40jYTJMlt3m5EFJr6
123;0.185;0.149;-26.961;0.0345;0.973;0.925;0.0842;0.095;116.962;244282;6;1;0RQENe6hZ0e1pLWl9jlgst
124;0.367;0.047;-22.13;0.0485;0.995;0.912;0.115;0.257;75.693;167012;5;0;2zlucaZKGErsezQFBD4xRx
125;0.405;0.0298;-21.491;0.034;0.959;0.874;0.0932;0.115;73.994;226093;2;0;0p3UqAzcJi6WpTQ1bYpbau
126;0.195;0.0842;-20.809;0.0396;0.953;0.841;0.112;0.0385;141.885;263000;8;0;483rtQmuVrxLd8lQ0bDWXm
127;0.311;0.102;-19.783;0.038;0.996;0.881;0.12;0.056;108.643;206000;5;0;4sN3K10oE0kdoGxcI9y7dw
128;0.324;0.318;-17.082;0.0418;0.995;0.865;0.0934;0.0396;126.735;223400;5;1;5jsk0zjlifQl0hqT0sOtNF
129;0.458;0.0743;-24.145;0.0532;0.993;0.91;0.103;0.232;108.93;230125;6;0;346d2tSxhrRUpL4bp4xn2b
130;0.147;0.0987;-21.885;0.0372;0.934;0.873;0.128;0.0594;67.749;169801;5;1;2abG1wZYpbQaqJpXTFo67Y
